City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Kissidougou,GN,2020-04-16 08:52:29,9.18,-10.1,79.88,56,9,6.58
152,Lawrenceburg,US,2020-04-16 08:52:29,38.04,-84.9,32.0,74,1,1.61
153,Alofi,NU,2020-04-16 08:51:26,-19.06,-169.92,75.2,88,95,3.36
154,Kimbe,PG,2020-04-16 08:52:30,-5.55,150.14,78.19,87,100,2.26
155,Champerico,GT,2020-04-16 08:52:30,14.3,-91.92,81.7,74,16,3.06
156,Ust-Maya,RU,2020-04-16 08:52:30,60.42,134.53,25.2,86,99,7.92
157,New Norfolk,AU,2020-04-16 08:50:42,-42.78,147.06,54.0,58,52,5.82
158,Boa Vista,BR,2020-04-16 08:52:31,2.82,-60.67,80.6,65,40,6.93
159,Moron,AR,2020-04-16 08:52:31,-34.65,-58.62,52.0,100,0,3.36
160,Naze,JP,2020-04-16 08:50:49,28.37,129.48,69.8,56,75,10.29
161,Cap Malheureux,MU,2020-04-16 08:51:35,-19.98,57.61,82.4,69,75,14.99
162,Bolkhov,RU,2020-04-16 08:52:32,53.44,36.0,43.48,67,100,19.8
163,Esso,RU,2020-04-16 08:52:32,55.93,158.7,22.37,90,96,2.26
164,Erenhot,CN,2020-04-16 08:50:42,43.65,111.98,54.66,23,83,21.27
165,Tabuk,PH,2020-04-16 08:52:33,17.42,121.44,82.4,67,100,4.54
166,Sibolga,ID,2020-04-16 08:50:36,1.74,98.78,81.5,80,99,3.56
167,Mount Gambier,AU,2020-04-16 08:51:03,-37.83,140.77,57.2,67,75,13.87
168,Rexburg,US,2020-04-16 08:52:33,43.83,-111.79,30.2,46,1,18.34
169,Namibe,AO,2020-04-16 08:51:01,-15.2,12.15,69.8,88,75,5.82
170,Leshan,CN,2020-04-16 08:52:34,29.56,103.76,82.11,36,60,3.06
171,Sechura,PE,2020-04-16 08:52:34,-5.56,-80.82,72.9,75,89,10.04
172,Raudeberg,NO,2020-04-16 08:50:37,61.99,5.14,41.0,80,75,13.87
173,Awjilah,LY,2020-04-16 08:52:34,29.11,21.29,79.14,27,73,13.06
174,Khandyga,RU,2020-04-16 08:51:00,62.67,135.6,9.82,84,14,9.24
175,Tiznit,MA,2020-04-16 08:52:35,29.58,-9.5,67.6,36,49,2.35
176,Banikoara,BJ,2020-04-16 08:52:35,11.3,2.44,97.56,20,0,3.02
177,Omboue,GA,2020-04-16 08:52:35,-1.57,9.26,83.01,80,100,7.99
178,Aklavik,CA,2020-04-16 08:50:31,68.22,-135.01,35.6,74,90,5.82
179,Bissen,LU,2020-04-16 08:52:35,49.79,6.07,62.01,47,46,4.7
180,Lompoc,US,2020-04-16 08:52:36,34.64,-120.46,57.0,93,90,4.7
181,Zhezkazgan,KZ,2020-04-16 08:52:36,47.8,67.71,62.6,20,0,15.66
182,Newton,US,2020-04-16 08:49:16,42.34,-71.21,39.99,64,90,4.27
183,Cayenne,GF,2020-04-16 08:50:18,4.93,-52.33,73.4,100,20,7.11
184,Gorontalo,ID,2020-04-16 08:52:36,0.54,123.06,84.56,75,80,0.83
185,Guerrero Negro,MX,2020-04-16 08:46:06,27.98,-114.06,62.98,65,55,9.48
186,Upernavik,GL,2020-04-16 08:50:51,72.79,-56.15,19.42,85,89,7.61
187,Faanui,PF,2020-04-16 08:50:58,-16.48,-151.75,83.03,73,83,8.79
188,Dingle,PH,2020-04-16 08:52:37,11.0,122.67,88.36,57,47,11.43
189,Bosaso,SO,2020-04-16 08:52:37,11.28,49.18,89.53,54,7,5.7
190,Liverpool,GB,2020-04-16 08:51:31,53.41,-2.98,61.0,66,0,5.82
191,Iralaya,HN,2020-04-16 08:52:38,15.0,-83.23,76.96,82,8,6.91
192,Lagoa,PT,2020-04-16 08:50:37,39.05,-27.98,56.98,74,3,19.8
193,Suntar,RU,2020-04-16 08:52:38,62.14,117.63,26.69,86,98,8.61
194,Palu,ID,2020-04-16 08:52:39,-0.89,119.87,84.51,72,93,1.7
195,Provideniya,RU,2020-04-16 08:50:47,64.38,-173.3,26.55,97,100,9.28
196,Orlik,RU,2020-04-16 08:52:39,52.52,99.83,43.47,37,62,2.51
197,Quelimane,MZ,2020-04-16 08:46:16,-17.88,36.89,87.93,55,0,6.91
198,Seoul,KR,2020-04-16 08:46:30,37.57,126.98,75.2,23,1,5.82
199,Souillac,MU,2020-04-16 08:51:04,-20.52,57.52,82.4,69,75,14.99
200,Hualmay,PE,2020-04-16 08:51:14,-11.1,-77.61,70.68,76,26,6.96
201,Cruz Alta,BR,2020-04-16 08:50:07,-28.64,-53.61,50.0,71,0,1.12
202,Vila Franca Do Campo,PT,2020-04-16 08:48:52,37.72,-25.43,55.4,76,40,14.99
203,Vila Velha,BR,2020-04-16 08:50:54,-20.33,-40.29,75.99,94,97,3.85
204,Los Llanos De Aridane,ES,2020-04-16 08:52:41,28.66,-17.92,68.0,72,75,3.36
205,Aksarka,RU,2020-04-16 08:52:41,66.56,67.8,24.28,96,99,11.56
206,Pizarro,CO,2020-04-16 08:52:41,4.95,-77.37,77.09,85,100,1.61
207,Havre-Saint-Pierre,CA,2020-04-16 08:52:41,50.23,-63.6,26.6,63,75,6.93
208,Muros,ES,2020-04-16 08:52:42,42.78,-9.06,59.0,87,40,10.29
209,Oktyabrskiy,RU,2020-04-16 08:52:42,54.48,53.47,46.67,51,96,12.01
210,Oban,GB,2020-04-16 08:52:42,56.41,-5.47,55.0,68,16,5.01
211,Severo-Yeniseyskiy,RU,2020-04-16 08:51:12,60.37,93.04,37.8,73,98,9.64
212,Imbituba,BR,2020-04-16 08:51:16,-28.24,-48.67,60.8,63,0,9.17
213,Black River,JM,2020-04-16 08:52:43,18.03,-77.85,78.8,78,20,6.93
214,Neiafu,TO,2020-04-16 08:50:25,-18.65,-173.98,80.37,82,100,8.34
215,Camacha,PT,2020-04-16 08:50:25,33.08,-16.33,62.6,67,20,16.11
216,Sawakin,SD,2020-04-16 08:52:43,19.11,37.33,80.78,44,0,11.72
217,Alice Springs,AU,2020-04-16 08:49:40,-23.7,133.88,93.2,10,100,8.05
218,Vila Do Maio,CV,2020-04-16 08:52:44,15.13,-23.22,71.6,73,40,12.75
219,Dillon,US,2020-04-16 08:52:44,34.42,-79.37,45.0,100,1,4.25
220,Chapais,CA,2020-04-16 08:47:41,49.78,-74.85,10.4,66,75,6.93
221,Acarau,BR,2020-04-16 08:52:45,-2.89,-40.12,75.02,89,26,4.34
222,Port Lincoln,AU,2020-04-16 08:50:25,-34.73,135.87,61.02,62,29,13.65
223,Arraial Do Cabo,BR,2020-04-16 08:51:00,-22.97,-42.03,74.75,84,100,7.27
224,Quesnel,CA,2020-04-16 08:52:45,53.0,-122.5,30.2,74,1,2.44
225,Yashkul,RU,2020-04-16 08:52:46,46.17,45.34,55.26,40,93,15.95
226,Log,RU,2020-04-16 08:52:46,49.48,43.86,48.11,50,100,18.41
227,North Bend,US,2020-04-16 08:52:46,43.41,-124.22,48.2,100,90,5.82
228,Sakaiminato,JP,2020-04-16 08:52:46,35.55,133.23,55.4,71,40,16.11
229,Constitucion,CL,2020-04-16 08:48:04,-35.33,-72.42,52.65,64,5,2.53
230,Domoni,KM,2020-04-16 08:52:47,-12.26,44.53,83.32,71,41,6.26
231,Maragogi,BR,2020-04-16 08:51:18,-9.01,-35.22,79.11,78,100,5.7
232,Saint-Augustin,CA,2020-04-16 08:51:19,51.23,-58.65,21.9,92,38,3.04
233,Sitka,US,2020-04-16 08:48:52,57.05,-135.33,44.6,93,90,4.7
234,Maracacume,BR,2020-04-16 08:52:47,-2.04,-45.96,72.61,96,100,0.6
235,Tame,CO,2020-04-16 08:52:48,6.46,-71.73,74.35,49,94,3.09
236,Port Blair,IN,2020-04-16 08:46:22,11.67,92.75,84.16,72,71,4.36
237,Fortuna,US,2020-04-16 08:50:46,40.6,-124.16,51.01,100,90,8.05
238,Kyshtovka,RU,2020-04-16 08:52:48,56.55,76.63,48.38,58,5,14.14
239,Gonaives,HT,2020-04-16 08:52:49,19.45,-72.68,76.75,77,47,2.24
240,Minab,IR,2020-04-16 08:52:49,27.15,57.08,69.8,94,90,4.7
241,Ahar,IR,2020-04-16 08:52:49,38.48,47.07,63.77,17,97,11.14
242,Oranjemund,NA,2020-04-16 08:52:50,-28.55,16.43,67.14,48,0,6.76
243,Lazarev,RU,2020-04-16 08:52:50,52.23,141.51,32.45,92,0,12.39
244,Kodinsk,RU,2020-04-16 08:52:50,58.69,99.18,56.05,56,82,8.52
245,Luanda,AO,2020-04-16 08:52:50,-8.84,13.23,84.2,74,75,6.93
246,Rawson,AR,2020-04-16 08:51:02,-43.3,-65.1,63.9,49,86,12.21
247,Pingliang,CN,2020-04-16 08:52:51,35.54,106.69,66.15,14,43,8.41
248,Morganton,US,2020-04-16 08:52:51,35.75,-81.68,39.99,86,1,3.11
249,Cabo San Lucas,MX,2020-04-16 08:49:12,22.89,-109.91,64.99,80,93,8.03
250,Pljevlja,ME,2020-04-16 08:52:52,43.33,19.33,50.0,39,2,3.36
251,Tuatapere,NZ,2020-04-16 08:50:29,-46.13,167.68,50.0,81,100,10.0
252,Saskylakh,RU,2020-04-16 08:50:36,71.92,114.08,0.81,92,81,4.03
253,Ayan,RU,2020-04-16 08:52:53,56.45,138.17,36.64,74,47,8.03
254,Houma,US,2020-04-16 08:52:54,29.6,-90.72,62.6,66,1,6.93
255,Paracuru,BR,2020-04-16 08:52:54,-3.41,-39.03,77.0,88,44,3.36
256,Shache,CN,2020-04-16 08:52:54,38.42,77.24,79.57,10,5,7.18
257,Kamloops,CA,2020-04-16 08:52:54,50.67,-120.32,39.2,48,5,3.36
258,Nemuro,JP,2020-04-16 08:52:55,43.32,145.57,33.8,59,20,11.41
259,Tiarei,PF,2020-04-16 08:52:55,-17.53,-149.33,82.4,74,75,4.7
260,Inongo,CD,2020-04-16 08:52:55,-1.95,18.27,95.38,43,96,1.21
261,Dariba,IN,2020-04-16 08:52:55,24.95,74.13,104.4,8,20,17.85
262,Huarmey,PE,2020-04-16 08:50:46,-10.07,-78.15,72.48,72,3,7.78
263,Santa Lucia,ES,2020-04-16 08:52:56,27.91,-15.54,69.8,60,20,2.24
264,Gawler,AU,2020-04-16 08:52:56,-34.6,138.73,64.0,55,40,19.46
265,Atasu,KZ,2020-04-16 08:52:56,48.68,71.64,56.32,31,0,4.21
266,Octeville,FR,2020-04-16 08:52:57,49.63,-1.64,64.0,71,89,6.93
267,Bahadurganj,IN,2020-04-16 08:52:57,26.27,87.82,98.38,25,0,7.36
268,Honningsvag,NO,2020-04-16 08:52:57,70.98,25.97,35.6,74,94,11.41
269,Jinchang,CN,2020-04-16 08:52:57,38.5,102.17,60.76,14,0,19.46
270,Hervey Bay,AU,2020-04-16 08:52:58,-25.3,152.85,75.99,69,7,8.05
271,Pangnirtung,CA,2020-04-16 08:52:58,66.15,-65.71,14.29,86,100,7.87
272,Mackay,AU,2020-04-16 08:52:58,-21.15,149.2,78.8,78,75,12.75
273,Mahebourg,MU,2020-04-16 08:52:58,-20.41,57.7,82.4,69,75,14.99
274,Nome,US,2020-04-16 08:52:59,64.5,-165.41,33.8,100,90,5.82
275,Talnakh,RU,2020-04-16 08:51:15,69.49,88.4,14.0,61,4,22.37
276,West Plains,US,2020-04-16 08:52:59,36.73,-91.85,42.01,64,1,4.7
277,Asfi,MA,2020-04-16 08:52:59,32.3,-9.24,66.22,55,21,11.39
278,Warud,IN,2020-04-16 08:52:59,21.47,78.27,104.49,10,47,6.71
279,Kalmunai,LK,2020-04-16 08:53:00,7.42,81.82,86.94,63,65,9.44
280,Lata,PT,2020-04-16 08:51:15,40.16,-8.33,57.99,87,40,11.41
